date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:16	1009/1009	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2016:50:15%20GMT	https://aiden.gg/robots.txt		(from )
18:50:16	21669/21669	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2016:50:16%20GMT	https://aiden.gg/	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/index.html	(from )
18:50:17	280467/280467	---M--	200	added ('OK')	image/png	etag:%224b7341d05b1e7e0a39d81e49bc1585c6%22	https://r2.e-z.host/2082d908-7c65-4fc3-b02a-5f50f9141543/lbo1x6wn.png	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/r2.e-z.host/2082d908-7c65-4fc3-b02a-5f50f9141543/lbo1x6wn.png	(from https://aiden.gg/)
18:50:17	16570/16570	---MCZ	200	added ('OK')	text/css	etag:W/%2240ba-187f00125b8%22	https://aiden.gg/_next/static/css/260373c37722d20c.css	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/_next/static/css/260373c37722d20c.css	(from https://aiden.gg/)
18:50:18	267170/267170	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22413a2-186cd467ff8%22	https://aiden.gg/favicon.ico	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/favicon.ico	(from https://aiden.gg/)
18:50:18	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-187f00125b8%22	https://aiden.gg/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://aiden.gg/)
18:50:18	1606/1606	---MCZ	200	added ('OK')	application/javascript	etag:W/%22646-187f00125b8%22	https://aiden.gg/_next/static/chunks/webpack-59c5c889f52620d6.js	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/_next/static/chunks/webpack-59c5c889f52620d6.js	(from https://aiden.gg/)
18:50:19	141052/141052	---MCZ	200	added ('OK')	application/javascript	etag:W/%22226fc-187f00125b8%22	https://aiden.gg/_next/static/chunks/framework-2c79e2a64abdb08b.js	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/_next/static/chunks/framework-2c79e2a64abdb08b.js	(from https://aiden.gg/)
18:50:19	93672/93672	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216de8-187f00125b8%22	https://aiden.gg/_next/static/chunks/main-3a42e3b12b1f1cc3.js	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/_next/static/chunks/main-3a42e3b12b1f1cc3.js	(from https://aiden.gg/)
18:50:19	471/471	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d7-187f00125b8%22	https://aiden.gg/_next/static/chunks/pages/_app-5fbdfbcdfb555d2f.js	C:/Users/tobyd/OneDrive/Desktop/aiden.gg/aiden.gg/_next/static/chunks/pages/_app-5fbdfbcdfb555d2f.js	(from https://aiden.gg/)
